pipeline_id,pipe_age_years,material,diameter_mm,length_m,previous_failures,days_since_last_maintenance,complaints_last_30_days,leakage_complaints_30d,failure_next_12_months
HIST-PIPE-00001,49,Cast Iron,400,525.3,0,293,0,0,0
HIST-PIPE-00002,40,PVC,200,378.2,0,407,6,2,0
HIST-PIPE-00003,49,Steel,150,530.2,2,361,2,0,0
HIST-PIPE-00004,27,Ductile Iron,200,197.8,1,634,3,0,0
HIST-PIPE-00005,69,Steel,300,222.7,2,430,1,1,0
HIST-PIPE-00006,22,Ductile Iron,500,580.4,0,553,1,0,0
HIST-PIPE-00007,59,Cast Iron,100,615.9,1,216,6,4,0
HIST-PIPE-00008,31,Ductile Iron,200,80.2,0,3000,1,0,0
HIST-PIPE-00009,36,Ductile Iron,250,56.0,1,1001,0,0,0
HIST-PIPE-00010,56,Cast Iron,100,434.4,0,373,1,0,0
HIST-PIPE-00011,65,Concrete,100,80.9,0,2669,6,1,0
HIST-PIPE-00012,19,PVC,100,115.8,0,756,0,0,0
HIST-PIPE-00013,47,Cast Iron,150,126.9,3,430,0,0,1
HIST-PIPE-00014,43,Cast Iron,100,299.2,2,166,7,3,0
HIST-PIPE-00015,23,PVC,200,128.6,0,545,0,0,0
HIST-PIPE-00016,50,Cast Iron,250,119.8,4,296,5,5,1
HIST-PIPE-00017,24,PVC,400,53.7,0,28,2,0,0
HIST-PIPE-00018,42,Ductile Iron,150,559.2,0,291,1,0,0
HIST-PIPE-00019,32,PVC,100,101.1,0,13,0,0,0
HIST-PIPE-00020,36,Steel,100,344.4,0,516,0,0,0
HIST-PIPE-00021,35,PVC,400,174.7,1,38,3,1,0
HIST-PIPE-00022,54,Steel,400,120.7,1,69,0,0,0
HIST-PIPE-00023,23,PVC,100,199.1,0,1759,4,2,0
HIST-PIPE-00024,46,PVC,100,154.2,0,621,1,1,0
HIST-PIPE-00025,33,PVC,300,248.7,0,1584,0,0,0
HIST-PIPE-00026,36,Steel,250,460.1,0,50,1,1,0
HIST-PIPE-00027,47,Cast Iron,200,68.3,3,3000,1,0,1
HIST-PIPE-00028,30,Cast Iron,200,120.9,3,943,1,0,0
HIST-PIPE-00029,35,PVC,300,79.3,1,1132,0,0,0
HIST-PIPE-00030,41,Ductile Iron,150,1252.7,1,1676,4,2,0
HIST-PIPE-00031,25,Concrete,150,348.6,1,1792,0,0,0
HIST-PIPE-00032,33,Cast Iron,100,650.8,0,832,2,0,0
HIST-PIPE-00033,45,Ductile Iron,200,158.6,0,665,1,0,0
HIST-PIPE-00034,13,PVC,600,840.2,0,78,0,0,0
HIST-PIPE-00035,18,Steel,150,397.0,0,70,1,0,0
HIST-PIPE-00036,34,Ductile Iron,500,232.3,0,244,1,0,0
HIST-PIPE-00037,45,PVC,250,371.2,1,374,1,1,0
HIST-PIPE-00038,70,Cast Iron,150,97.7,2,3000,6,4,1
HIST-PIPE-00039,34,Ductile Iron,250,181.5,0,683,4,2,0
HIST-PIPE-00040,17,Ductile Iron,150,321.2,1,634,0,0,0
HIST-PIPE-00041,14,PVC,100,408.0,0,476,0,0,0
HIST-PIPE-00042,33,Ductile Iron,100,135.5,0,92,0,0,0
HIST-PIPE-00043,65,Ductile Iron,100,1734.1,2,611,3,2,0
HIST-PIPE-00044,16,PVC,300,676.6,0,184,0,0,0
HIST-PIPE-00045,34,Ductile Iron,400,353.6,0,558,1,1,0
HIST-PIPE-00046,43,Steel,200,1318.3,0,246,6,2,0
HIST-PIPE-00047,28,PVC,200,301.5,0,467,1,0,0
HIST-PIPE-00048,54,Steel,250,1079.2,3,721,4,3,0
HIST-PIPE-00049,55,PVC,250,537.7,2,464,1,0,0
HIST-PIPE-00050,19,PVC,150,135.8,0,12,2,0,0
HIST-PIPE-00051,47,Concrete,100,232.0,1,125,3,2,0
HIST-PIPE-00052,48,Steel,200,156.7,0,673,0,0,0
HIST-PIPE-00053,35,Ductile Iron,250,497.8,1,153,0,0,0
HIST-PIPE-00054,25,Cast Iron,300,559.3,0,145,0,0,0
HIST-PIPE-00055,59,Cast Iron,100,453.4,5,882,10,6,1
HIST-PIPE-00056,20,PVC,200,326.1,0,342,3,0,0
HIST-PIPE-00057,29,Ductile Iron,100,230.0,1,839,5,2,0
HIST-PIPE-00058,47,Ductile Iron,300,1503.3,0,66,2,2,0
HIST-PIPE-00059,52,Cast Iron,250,59.9,0,1112,4,3,0
HIST-PIPE-00060,61,Cast Iron,250,96.3,2,666,0,0,0
HIST-PIPE-00061,26,Ductile Iron,300,369.6,0,476,0,0,0
HIST-PIPE-00062,58,Concrete,200,543.5,3,1227,0,0,0
HIST-PIPE-00063,41,Ductile Iron,150,1156.2,0,2043,1,1,0
HIST-PIPE-00064,41,Ductile Iron,300,286.0,0,729,2,1,0
HIST-PIPE-00065,35,Ductile Iron,300,158.2,0,96,2,1,0
HIST-PIPE-00066,59,Cast Iron,100,746.6,2,724,0,0,0
HIST-PIPE-00067,16,PVC,400,253.3,1,2,2,2,0
HIST-PIPE-00068,18,Ductile Iron,150,98.4,0,244,1,1,0
HIST-PIPE-00069,62,Steel,150,308.4,0,923,3,3,0
HIST-PIPE-00070,48,Ductile Iron,100,310.9,0,1467,3,3,1
HIST-PIPE-00071,64,Cast Iron,600,141.1,0,342,4,4,1
HIST-PIPE-00072,54,Cast Iron,150,103.6,3,205,3,2,1
HIST-PIPE-00073,33,Ductile Iron,600,103.8,0,118,1,1,0
HIST-PIPE-00074,57,Ductile Iron,250,656.7,1,495,0,0,0
HIST-PIPE-00075,51,Cast Iron,100,293.3,3,430,1,1,1
HIST-PIPE-00076,29,Ductile Iron,200,516.6,1,446,1,0,0
HIST-PIPE-00077,38,Ductile Iron,400,1199.0,1,208,3,2,0
HIST-PIPE-00078,25,Ductile Iron,200,599.6,0,403,1,1,0
HIST-PIPE-00079,79,Cast Iron,100,109.8,4,355,10,9,1
HIST-PIPE-00080,13,Ductile Iron,150,240.6,0,2490,5,4,0
HIST-PIPE-00081,10,Ductile Iron,150,289.9,0,122,1,1,0
HIST-PIPE-00082,32,Ductile Iron,100,472.9,0,84,1,1,0
HIST-PIPE-00083,45,Concrete,150,1222.4,2,1181,3,2,0
HIST-PIPE-00084,19,PVC,250,167.4,0,909,2,1,0
HIST-PIPE-00085,24,Cast Iron,150,741.2,0,1079,0,0,0
HIST-PIPE-00086,44,PVC,200,76.2,2,481,2,2,0
HIST-PIPE-00087,40,Steel,150,769.4,1,170,0,0,0
HIST-PIPE-00088,40,Ductile Iron,800,465.2,0,1626,0,0,0
HIST-PIPE-00089,56,Steel,200,60.1,3,1172,0,0,0
HIST-PIPE-00090,33,PVC,400,380.2,1,909,0,0,0
HIST-PIPE-00091,35,Ductile Iron,200,987.5,3,24,7,3,0
HIST-PIPE-00092,28,Cast Iron,100,248.3,0,430,1,1,0
HIST-PIPE-00093,35,Steel,400,93.7,1,278,0,0,1
HIST-PIPE-00094,37,PVC,300,1616.4,1,286,5,2,0
HIST-PIPE-00095,51,Cast Iron,150,238.7,0,98,0,0,0
HIST-PIPE-00096,50,Concrete,250,312.6,3,1550,0,0,0
HIST-PIPE-00097,50,Ductile Iron,100,1247.2,1,200,0,0,0
HIST-PIPE-00098,18,PVC,100,357.6,0,31,0,0,0
HIST-PIPE-00099,33,Cast Iron,300,444.6,1,408,3,1,0
HIST-PIPE-00100,30,Steel,500,483.2,0,512,0,0,0
HIST-PIPE-00101,40,Cast Iron,150,540.1,4,303,2,1,0
HIST-PIPE-00102,64,Cast Iron,200,613.6,1,353,7,6,1
HIST-PIPE-00103,29,PVC,250,77.2,0,325,2,1,0
HIST-PIPE-00104,28,Ductile Iron,300,1003.1,0,746,0,0,0
HIST-PIPE-00105,39,Steel,200,325.9,1,203,3,2,0
HIST-PIPE-00106,32,Concrete,250,317.1,2,1858,3,1,1
HIST-PIPE-00107,30,Concrete,250,681.7,0,314,2,2,0
HIST-PIPE-00108,43,Ductile Iron,100,178.2,0,380,0,0,0
HIST-PIPE-00109,40,Ductile Iron,250,423.4,0,110,0,0,0
HIST-PIPE-00110,24,Ductile Iron,200,183.4,0,396,1,1,0
HIST-PIPE-00111,12,PVC,150,550.7,0,705,1,0,0
HIST-PIPE-00112,64,Steel,150,248.6,0,318,0,0,0
HIST-PIPE-00113,29,Steel,250,122.3,1,139,0,0,0
HIST-PIPE-00114,68,PVC,100,888.5,0,1144,2,1,1
HIST-PIPE-00115,64,Concrete,300,539.9,2,696,1,0,0
HIST-PIPE-00116,47,Steel,100,55.0,0,478,0,0,0
HIST-PIPE-00117,20,Ductile Iron,300,73.3,0,302,0,0,0
HIST-PIPE-00118,25,Steel,300,216.8,0,214,0,0,0
HIST-PIPE-00119,40,Ductile Iron,500,580.1,0,85,2,2,0
HIST-PIPE-00120,27,Ductile Iron,200,163.0,1,199,1,0,0
HIST-PIPE-00121,36,Ductile Iron,100,1689.6,0,216,2,0,0
HIST-PIPE-00122,10,PVC,250,930.0,1,239,0,0,0
HIST-PIPE-00123,56,Cast Iron,150,749.9,4,236,5,5,0
HIST-PIPE-00124,43,Steel,100,53.2,3,16,0,0,0
HIST-PIPE-00125,33,Steel,400,1213.6,0,231,1,1,0
HIST-PIPE-00126,72,Concrete,100,363.3,1,7,1,1,1
HIST-PIPE-00127,28,PVC,200,363.2,1,862,5,3,0
HIST-PIPE-00128,71,Cast Iron,300,86.4,2,167,0,0,1
HIST-PIPE-00129,16,Ductile Iron,100,379.1,1,77,0,0,0
